id,name,host_id,host_name,neighbourhood,longitude,latitude,property_type,room_type,beds,accommodates,price,availability,minimum_night,maximum_night,no_of_reviews,rating,host_listings_counts
15101377,20% off - Cozy Studio Near Subway with Wifi LT4,10575316,Mark,Sai Ying Pun,114.14315,22.28855,Apartment,Entire home/apt,1,2,573,172,14,350,9,100,12
15103148,"SM8 - Serenity Beach - 2 Bedroom, Dressing Room",89109224,Jirka,La Barceloneta,2.18864,41.3815,Apartment,Entire home/apt,2,3,38,237,32,1125,1,100,11
15113580,"Casa na Gávea, silenciosa com vista para mata.",95754481,Del,Gávea,-43.23561956,-22.98045772,Guesthouse,Entire home/apt,1,2,142,3,2,60,1,100,3
15115143,46st Cozy Flat Midtown/Tms Squr/Javits Ctr/Pier 97,87565263,Clark,Hell's Kitchen,-73.99552,40.76338,Apartment,Entire home/apt,1,3,200,83,3,20,149,97,1
15116002,Private Apartment between the ocean and mountains,78686620,Kelly,North Shore,-158.17481,21.57958,Guest suite,Entire home/apt,1,2,130,75,2,14,71,99,1
15119850,Apartment located near Guell park,95822184,Manuela,North Shore,2.15739,41.42255,House,Private room,2,2,31,6,1,1125,63,84,1
15124886,Private cabin,75345698,Barcelona Yacht,North Shore,2.22733,41.41004,Boat,Private room,2,2,35,359,1,1125,24,82,4
15126808,Room at Copacabana beach! 3 min to beach,92462577,Lereno,Copacabana,-43.18364484,-22.96562329,Apartment,Private room,2,2,60,175,3,1125,69,89,4
15139440,Gracia 3 BR 2 BA Terrace,35680770,Xavi,Sarrià,2.14984,41.4025,Apartment,Entire home/apt,6,6,62,66,32,1125,1,80,21
15140363,Cozy room in artist loft,90426536,Arturo,Williamsburg,-73.96234,40.71871,Apartment,Private room,1,1,55,78,30,1125,1,100,5
15144619,Portuguese family house experience. City Centre.,96049655,Natália,Williamsburg,-8.477,41.33714,Loft,Private room,2,4,22,360,2,10,19,99,1
15158785,Temporada LAPA - CENTRO - RIO DE JANEIRO - RJ,19840021,Ricardo,Lapa,-43.18800413,-22.91397734,Apartment,Entire home/apt,5,9,250,0,7,89,2,80,2
15159326,Estúdio 428 near the beach,96177364,Inês,Lapa,-8.64026,41.00943,Apartment,Entire home/apt,1,2,100,334,2,1125,5,96,1
15167619,PALM TREE HOUSE steps to beach,42928423,Nina,Lapa,-158.14192,21.58147,House,Entire home/apt,2,4,200,169,5,1125,38,97,2
15177216,COPACABANA BEACH- REVEILLON -WI FI FREE -Cable TV,24381591,Carolina,Lapa,-43.18519607,-22.97019453,Apartment,Entire home/apt,5,8,101,54,2,190,46,99,2
15182133,2-Bedroom Elevator Apt with Swimming Pool,20371654,Michelle,Sheung Wan,114.15013,22.28458,Apartment,Entire home/apt,1,2,801,41,1,1125,9,90,1
15190865,Spacious private 2BR with Backyard Williamsburg,20309915,Lawrence,Sheung Wan,-73.94884,40.70778,Apartment,Entire home/apt,3,6,170,71,2,365,81,97,1
