,id,name,host_id,host_name,neighbourhood,longitude,latitude,property_type,room_type,beds,accommodates,price,availability,minimum_night,maximum_night,no_of_reviews,rating,host_listings_counts
65,10343118,Best location 1BR Apt in HK - Shops & Sights,2657469,Simon,Tsim Sha Tsui,114.17088,22.29663,Apartment,Entire home/apt,2,4,997.00,170,1,60,145,94,17
66,10343118,Best location 1BR Apt in HK - Shops & Sights,2657469,Simon,Tsim Sha Tsui,114.17088,22.29663,Apartment,Entire home/apt,2,4,997.00,170,1,60,145,94,17
67,10343118,Best location 1BR Apt in HK - Shops & Sights,2657469,Simon,Tsim Sha Tsui,114.17088,22.29663,Apartment,Entire home/apt,2,4,997.00,170,1,60,145,94,17
68,1036027,BBC OPORTO 4X2,3104922,Cristina,Mercês,-8.60069,41.16246,Apartment,Entire home/apt,8,8,100.00,264,3,1125,71,88,3
69,1036027,BBC OPORTO 4X2,3104922,Cristina,Mercês,-8.60069,41.16246,Apartment,Entire home/apt,8,8,100.00,264,3,1125,71,88,3
70,1038163,luxury apartment in istanbul taxsim,5386341,Osman,Cihangir,28.98538,41.03326,Apartment,Entire home/apt,3,4,269.00,317,2,1125,135,91,10
71,10381879,Pousada das Colonias,48463017,Lidia Maria,,-43.3089745798612,-23.004633399469007,Bed and breakfast,Private room,1,2,138.00,347,1,1125,9,98,4
72,10383490,Quarto Taquara - Jacarepaguá,3026612,Luana,,-43.37035220190699,-22.91636184358952,Apartment,Private room,1,2,101.00,365,2,1125,1,100,2
73,10392282,Banyan Bungalow,53507053,Bobby,,-158.1602,21.57561,Bungalow,Entire home/apt,1,2,100.00,321,2,300,99,96,1
74,10411341,Beautiful flat with services,36696735,Liliane,Barra da Tijuca,-43.20577175003696,-22.982557305257775,Apartment,Entire home/apt,2,4,351.00,316,3,1125,32,95,2
75,10415637,(1) Beach Guest House - Go Make A Trip,4765935,Rafael,Barra da Tijuca,-43.353970672578306,-23.008991691724663,Bed and breakfast,Private room,1,2,112.00,309,1,1125,11,98,8
76,10416859,"Studio convenient to CBD, beaches, street parking.",4548918,Leslie,Balgowlah,151.26108,-33.7975,Guest suite,Entire home/apt,4,5,45.00,0,2,3,104,96,1
77,10423504,Bondi Beach Dreaming 3-Bed House,2509326,Cat,North Bondi,151.27448,-33.8872,House,Entire home/apt,6,8,399.00,0,2,1125,139,96,5
78,1042446,March 2019 availability! Oceanview on Sugar Beach!,5738969,Gage,Maui,-156.46881,20.78621,Condominium,Entire home/apt,3,4,229.00,228,4,1125,19,94,1
79,1042446,March 2019 availability! Oceanview on Sugar Beach!,5738969,Gage,Maui,-156.46881,20.78621,Condominium,Entire home/apt,3,4,229.00,228,4,1125,19,94,1
80,10448594,Where Castles and Art meet the Sea,53059934,Jose,,-8.68887,41.17544,Apartment,Entire home/apt,2,4,80.00,27,5,1125,13,95,1
81,10448594,Where Castles and Art meet the Sea,53059934,Jose,,-8.68887,41.17544,Apartment,Entire home/apt,2,4,80.00,27,5,1125,13,95,1
82,10458796,Homely Room in 5-Star New Condo@MTR,53247930,Crystal,Mong Kok,114.17094,22.32074,Condominium,Private room,1,2,479.00,3,28,1125,179,94,5
83,10458796,Homely Room in 5-Star New Condo@MTR,53247930,Crystal,Mong Kok,114.17094,22.32074,Condominium,Private room,1,2,479.00,3,28,1125,179,94,5
84,1047087,The Garden Studio,3251237,Cath,,151.15036,-33.90318,Guesthouse,Entire home/apt,1,2,129.00,365,2,40,146,97,1
85,1047087,The Garden Studio,3251237,Cath,,151.15036,-33.90318,Guesthouse,Entire home/apt,1,2,129.00,365,2,40,146,97,1
86,10486984,Cheerful new renovated central apt,22766460,Aybike,,28.97477,41.03735,Apartment,Entire home/apt,4,8,264.00,326,3,1125,77,94,1
87,10487917,Heroísmo IV,9320470,Apartments2Enjoy,,-8.59275,41.1462,Apartment,Entire home/apt,1,2,29.00,309,1,1125,31,89,9
88,10487917,Heroísmo IV,9320470,Apartments2Enjoy,,-8.59275,41.1462,Apartment,Entire home/apt,1,2,29.00,309,1,1125,31,89,9
89,10519173,Condomínio Praia Barra da Tijuca,54221119,Paula,Barra da Tijuca,-43.32231287289854,-23.009702689174244,Condominium,Entire home/apt,5,6,351.00,172,2,1125,18,95,1
90,10527212,位於深水埗地鐵站的溫馨公寓,16313394,Aaron,Tai Kok Sui,114.16262,22.32733,Apartment,Private room,2,4,353.00,365,1,1125,18,71,28
91,10527243,Tropical Jungle Oasis,54294012,Douglas,Hilo,-155.09259,19.73108,Condominium,Entire home/apt,3,4,125.00,65,2,1125,65,96,1
92,10527243,Tropical Jungle Oasis,54294012,Douglas,Hilo,-155.09259,19.73108,Condominium,Entire home/apt,3,4,125.00,65,2,1125,65,96,1
93,10545725,Cozy bedroom Sagrada Familia,1929411,Rapha,el Fort Pienc,2.17963,41.40087,Apartment,Private room,2,2,20.00,0,2,1125,1,100,1
94,10545815,Whole Apt. in East Williamsburg,4148248,Guillermo,Williamsburg,-73.93981,40.70687,Apartment,Entire home/apt,1,4,125.00,168,4,90,126,96,3
95,10548991,Jubilee By The Sea (Ocean Views),54391530,Nate,Kailua/Kona,-155.97349,19.61318,House,Entire home/apt,6,11,325.00,267,2,90,45,98,3
96,10552362,Sun filled comfortable apartment,23405752,Harry,Elizabeth Bay/Rushcutters Bay,151.22559,-33.87604,Apartment,Entire home/apt,1,2,85.00,0,1,1125,2,100,1
97,10558807,Park Guell apartment with terrace,54320669,Alexandra Y Juan,Vila de Gràcia,2.15836,41.41582,Apartment,Entire home/apt,3,6,85.00,174,2,1125,51,71,12
98,10560325,Spacious and well located apartment,12870591,Andre,Jardim Europa,-8.6114,41.16093,Apartment,Entire home/apt,3,6,60.00,314,3,1125,20,89,5
99,10570041,Jardim Botânico Gourmet 2 bdroom,3665789,Roberta (Beta) Gatti,,-43.22076222600562,-22.96448811710617,Apartment,Entire home/apt,5,6,395.00,342,2,1125,9,91,18
100,10573225,Charming Spacious Park Slope Studio,54539364,Ildiko,Park Slope,-73.98307,40.6651,Guest suite,Entire home/apt,0,3,135.00,204,3,1125,115,98,1
101,10578580,Panoramic Ocean View Studio in  Quiet Setting,308899,Andrei,Kaimuki,-157.78578,21.29561,Guesthouse,Entire home/apt,1,2,120.00,323,2,1125,114,95,2
102,10581101,Grand apartment Sagrada Familia,54320669,Alexandra Y Juan,Vila de Gràcia,2.18146,41.39716,Apartment,Entire home/apt,6,8,169.00,211,2,1125,77,90,12
103,1058555,Nice Cosy Room In Taksim,5823933,Nihat,Cihangir,28.98648,41.03376,Apartment,Private room,1,2,105.00,336,3,1125,31,96,2
104,1058555,Nice Cosy Room In Taksim,5823933,Nihat,Cihangir,28.98648,41.03376,Apartment,Private room,1,2,105.00,336,3,1125,31,96,2
105,10612199,Serene luxury in Harlem,54761069,Erika,Harlem,-73.95211,40.80708,Apartment,Private room,1,1,80.00,339,3,1125,10,100,1
106,10612199,Serene luxury in Harlem,54761069,Erika,Harlem,-73.95211,40.80708,Apartment,Private room,1,1,80.00,339,3,1125,10,100,1
107,10628126,Ribeira Smart Flat,54662715,Mathieu,,-8.61602,41.14295,Apartment,Entire home/apt,3,6,80.00,214,2,1124,132,92,4
108,1063491,"Charming Apartment,perfect Location",1381764,Fabio,Copacabana,-43.175966118975914,-22.964922391816017,Apartment,Entire home/apt,2,4,351.00,317,2,89,110,95,65
109,10635276,GREAT Apartment at Barra da Tijuca,54904357,Luiz Henrique,Barra da Tijuca,-43.32984175609327,-23.011124595436097,Apartment,Entire home/apt,7,6,933.00,0,4,100,13,100,2
110,10635276,GREAT Apartment at Barra da Tijuca,54904357,Luiz Henrique,Barra da Tijuca,-43.32984175609327,-23.011124595436097,Apartment,Entire home/apt,7,6,933.00,0,4,100,13,100,2
111,10648267,Lovely ap at Leblon beach,54984412,Sonia,Leblon,-43.22120070184858,-22.984162872106157,Apartment,Entire home/apt,3,5,298.00,0,3,1125,1,100,2
112,10659534,Beautiful 1 Bedroom Apartment,36481278,Mai-Britt,Sheung Wan,114.15241,22.28351,Apartment,Entire home/apt,1,2,997.00,0,2,1125,10,95,1
113,10664888,PORTO DOWNTOWN FLATS-RIBEIRA STUDIO,35484736,Tim,,-8.61279,41.14106,Apartment,Entire home/apt,2,4,55.00,243,2,28,62,97,4
